Longitude,Latitude,January,February,March,April,May,June,July,August,September,October,November,December
-15.8125,56.1875,0,0,0,0,0,0,0,0,0,0,0,0
-15.8125,56.3125,0,0,0,0,0,0,0,0,0,0,0,0
-15.8125,56.4375,0,0,0,0,0,0,0,0,0,0,0,0
-15.6875,55.8125,0,0,0,0,0,0,0,0,0,0,0,0
-15.6875,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-15.6875,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-15.6875,56.1875,0,0,0,0,0,0,0,0,0,0,0,0
-15.6875,56.3125,0,0,0,0,0,0,0,0,0,0,0,0
-15.6875,56.4375,0,0,0,0,0,0,0,0,0,0,0,0
-15.6875,56.5625,0,0,0,0,0,0,0,0,0,0,0,0
-15.5625,55.8125,0,0,0,0,0,0,0,0,0,0,0,0
-15.5625,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-15.5625,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-15.5625,56.1875,0,0,0,0,0,0,0,0,0,0,0,0
-15.5625,56.3125,0,0,0,0,0,0,0,0,0,0,0,0
-15.5625,56.4375,0,0,0,0,0,0,0,0,0,0,0,0
-15.5625,56.5625,0,0,0,0,0,0,0,0,0,0,0,0
-15.5625,56.6875,0,0,0,0,0,0,0,0,0,0,0,0
-15.4375,55.8125,0,0,0,0,0,0,0,0,0,0,0,0
-15.4375,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-15.4375,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-15.4375,56.1875,0,0,0,0,0,0,0,0,0,0,0,0
-15.4375,56.3125,0,0,0,0,0,0,0,0,0,0,0,0
-15.4375,56.4375,0,0,0,0,0,0,0,0,0,0,0,0
-15.4375,56.5625,0,0,0,0,0,0,0,0,0,0,0,0
-15.4375,56.6875,0,0,0,0,0,0,0,0,0,0,0,0
-15.3125,55.8125,0,0,0,0,0,0,0,0,0,0,0,0
-15.3125,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-15.3125,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-15.3125,56.1875,0,0,0,0,0,0,0,0,0,0,0,0
-15.3125,56.3125,0,0,0,0,0,0,0,0,0,0,0,0
-15.3125,56.4375,0,0,0,0,0,0,0,0,0,0,0,0
-15.3125,56.5625,0,0,0,0,0,0,0,0,0,0,0,0
-15.3125,56.6875,0,0,0,0,0,0,0,0,0,0,0,0
-15.3125,56.8125,0,0,0,0,0,0,0,0,0,0,0,0
-15.1875,55.8125,0,0,0,0,0,0,0,0,0,0,0,0
-15.1875,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-15.1875,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-15.1875,56.1875,0,0.004799174144864082,0,0.004479228984564543,0,0,0,0,0,0,0.008958457969129086,0.00433473801240325
-15.1875,56.3125,0,0.004629697650671005,0,0,0,0,0,0,0,0,0,0.0041816625744104385
-15.1875,56.4375,0,0,0,0,0,0,0,0,0,0,0,0
-15.1875,56.5625,0,0,0,0,0,0,0,0,0,0,0,0
-15.1875,56.6875,0,0,0,0,0,0,0,0,0,0,0,0
-15.1875,56.8125,0,0,0,0,0,0,0,0,0,0,0,0
-15.1875,56.9375,0,0,0,0,0,0,0,0,0,0,0,0
-15.0625,55.9375,0,0,0,0,0,0,0,0,0,0,0,0
-15.0625,56.0625,0,0,0,0,0,0,0,0,0,0,0,0
-15.0625,56.1875,0,0,0,0,0,0,0,0,0,0,0.006446357350796461,0
-15.0625,56.3125,0,0.010511606000363827,0,0,0,0,0,0,0,0,0.004905416164547205,0.009494354017078876
-15.0625,56.4375,0,0.004595463164150715,0,0,0,0,0,0,0,0,0,0.004150740802288055
-15.0625,56.5625,0,0.0047177355736494064,0,0,0,0,0,0,0,0,0,0.004261180758476257
-15.0625,56.6875,0,0,0,0,0,0,0,0,0,0,0,0
